,0
EA-UNH,3.298654062690231e-12
EA-V,3.764834122839505e-12
EA-VZ,2.915583275612248e-12
EA-WBD,4.1306602625398226e-11
EA-ZG,1.2337512903013404e-09
ELV-IBM,2.8062827463543444e-12
ELV-SPOT,1.2245854599465037e-12
F-LOW,6.438794838698633e-10
F-MSFT,1.6708877391512882e-09
FI-FLUT,0.022058266592247307
FI-GM,2.5517383704164053e-12
FI-GS,0.01244761926143195
FI-GSAT,1.5852958568436622e-12
FI-HLT,3.809167742244422e-12
FI-IBM,4.103125674658589e-12
FI-INTU,2.5944889273664797e-12
FI-JNJ,0.0013419038243015443
FI-JPM,3.594372435300197e-12
FI-KLAC,5.2597757300213795e-14
FI-LLY,3.2603916114720335e-12
FI-MAR,2.009445436119569e-12
FI-MCD,3.757268797709316e-12
FI-MCK,2.93739087044646e-11
FI-MELI,8.924956326628881e-10
FI-META,8.020316579393875e-10
FI-MRK,3.638047734663507e-12
FI-MS,3.57230399477918e-12
FI-MU,4.467913449304815e-12
FI-ORLY,4.217431767320313e-12
FI-PGR,4.839222094502829e-12
FI-PINS,9.421036915214018e-11
FI-REGN,1.1145963580340161e-10
FI-SYK,2.1380148291689435e-12
FI-T,3.0271453086771176e-12
FI-UBER,0.009696922509517692
FI-UNH,5.716952930387464e-14
FI-VRTX,4.59832823480693e-12
FI-VZ,2.3559409614618624e-12
FI-WBD,1.150369410097579e-11
FI-WFC,7.253336424160937e-11
FI-ZG,2.0918754450017102e-12
FOXA-GOOG,3.3305567969157694e-10
FOXA-INTU,1.71424561578935e-09
FOXA-LYV,0.00796509233190316
FOXA-MSFT,4.602172660736525e-10
FOXA-WFC,4.532597184864523e-12
GM-MU,3.4533911502533943e-12
GM-VRTX,8.071445289829974e-13
GSAT-HCA,6.604201077018658e-05
GSAT-JNJ,0.001070161289598333
GSAT-MAR,4.872620873933519e-10
HCA-HLT,3.9853032071392e-12
HCA-KLAC,5.743468952524192e-11
HCA-MS,1.99460671267241e-12
HCA-ORCL,4.297918810653126e-12
HD-KKR,3.3000673517363028e-12
HD-MSFT,3.806230189855662e-12
HD-ORCL,2.540321146592954e-12
HLT-KLAC,6.035538670166141e-12
HLT-LOW,1.7333251737994854e-11
HLT-MS,0.0008077146255682911
HLT-RY,3.2111966284031987e-12
HLT-SCHW,2.104727950395408e-12
HLT-TD,0.09284120614558176
HLT-TMO,6.156082787245878e-09
IBKR-KLAC,6.886589266507441e-10
IBKR-TJX,0.001979190558059577
IBM-JNJ,0.00557716868204823
IBM-LLY,1.7632892009973063e-10
IBM-ORLY,1.3400065095002407e-10
IBM-SPOT,6.140932933712294e-11
IBM-TTWO,2.395449365768268e-12
IBM-UNH,3.055713848430787e-10
IBM-VZ,2.249923491827697e-12
ICE-VRTX,2.18568201374184e-12
JNJ-TTWO,2.4280454480543385e-12
JPM-LRCX,4.456228645826606e-12
KKR-LOW,0.0007090344918119795
KKR-MSFT,0.002243769977709602
KLAC-MS,2.2877184972171094e-12
KLAC-ORCL,2.4841358163233548e-12
KLAC-YUM,4.1862764976307275e-12
LLY-VZ,2.742357788216079e-12
LOW-MS,3.820513049548903e-12
LOW-MSFT,4.848566653475023e-12
LOW-RY,2.492980901074499e-12
LOW-SCHW,7.384403997957913e-13
LOW-TD,1.5232592739059263e-12
LOW-TMO,0.01823883363722047
LOW-VZ,3.525322912010623e-12
LOW-WFC,1.0927363710255826e-10
LRCX-MA,1.9927695940096757e-10
LULU-MCK,2.9997086431093944e-12
LULU-MRK,2.8903295256028034e-12
LULU-PGR,0.010940470833556532
LULU-VRTX,3.0310568260981696e-13
LYV-TSLA,2.2748638559799583e-10
MA-MAR,0.03187841527699099
MA-MCD,0.058347453426595905
MA-MCK,0.0001172077979345063
MA-MCO,1.4288550092549811e-12
MA-MMC,3.714682578895684e-12
MA-MRK,4.66219737273028e-12
MA-MS,4.4272764480919254e-12
MA-MU,3.5644537697823466e-12
MA-NVDA,6.284894974286337e-11
MA-NWSA,0.030663307494332836
MA-OMC,4.527801076676254e-12
MA-ORCL,4.597328565875636e-12
MA-ORLY,0.003968464736277417
MA-PGR,0.026296184499400136
MA-QCOM,4.2634498267386604e-12
MA-RCL,1.9161777815946178e-11
MA-RY,3.5642690157169478e-12
MA-SBUX,3.5000018552238846e-12
MA-SCHW,9.480782152008004e-12
MA-SPGI,3.209197728152429e-12
MA-T,3.612278261256233e-12
MA-TD,3.920071183934099e-12
MA-TMO,1.3881231928482905e-12
MA-TMUS,0.012289961375176666
MA-TTWO,1.713302128350732e-12
MA-TXN,4.292862289527169e-12
MA-VRTX,3.3598587511542686e-12
MA-VZ,2.7984629682806906e-12
MA-WFC,2.410569041871987e-12
MA-YUM,0.017216421140186795
MA-ZG,2.101074820282769e-11
MAR-RY,1.438875084252259e-12
MAR-SCHW,6.799174631054435e-11
MAR-UNH,3.371908688267023e-12
MAR-WFC,2.40710123703438e-12
MCD-ORLY,2.0356823267595188e-12
MCK-VZ,3.214663280889321e-12
MCO-ZTS,0.06820994118633557
MDT-VRTX,1.7508378377062895e-12
META-VRTX,2.213097208099229e-12
MRK-VZ,2.992042058441638e-12
NKE-NOW,0.005714868873152202
NOW-VRTX,4.5215679946366996e-12
NWSA-V,2.2144717882885588e-09
ORCL-TXN,1.4086156475923642e-12
ORCL-YUM,3.841631661502027e-12
PGR-VZ,2.2831789743991233e-12
PINS-UBER,8.913014237470131e-13
QCOM-TSLA,3.5476395374953687e-12
RCL-VRTX,3.694531698120004e-10
REGN-VZ,3.8196921842114925e-12
ROST-SBUX,3.578819910580701e-12
RY-WFC,2.5240144869036787e-12
SCHW-WFC,0.006727628772729607
SPGI-VRTX,3.1150909488746296e-12
SPOT-TTWO,0.0052845722375012
SPOT-UNH,4.607934862648498e-13
SYK-TXN,4.32463045459947e-12
T-TMUS,0.003118202381950393
T-UNH,7.201721207021735e-10
T-V,1.9247850333035455e-09
T-WFC,6.371683744971017e-11
T-ZTS,2.8154004756948056e-12
TD-WFC,0.018000466210542403
TJX-VZ,3.629043439982388e-12
TMUS-VZ,4.0151097322103085e-12
TTWO-VRTX,3.073633946748476e-11
UBER-VRTX,2.464507259385405e-09
UNH-ZG,1.1801772395627278e-10
V-VZ,3.0588506265781245e-12
V-WFC,2.793285999033605e-11
V-YUM,0.005233444362553195
V-ZG,3.0609275822657854e-12
