,0
FI-FOXA,0.0
FI-GILD,3.448084370287815e-12
FI-GOOG,1.010335437732057e-12
FI-GS,0.009535962489640608
FI-GSAT,0.0
FI-HCA,0.0
FI-HD,0.0
FI-HLT,7.515958011185172e-13
FI-IBM,2.5221189325418697e-12
FI-ICE,2.039964537908491e-13
FI-ISRG,0.0
FI-JNJ,0.006861668170259544
FI-JPM,0.0
FI-KKR,1.6472491411173317e-12
FI-LOW,0.0
FI-LYV,2.7689457594581744e-12
FI-MAR,0.0
FI-MCD,3.654263442545326e-12
FI-MDT,0.004346767473945078
FI-META,0.0
FI-MMC,1.3139171493547067e-12
FI-MU,0.0
FI-NKE,0.0
FI-NWSA,3.4492845082650524e-12
FI-OMC,0.007103122668434579
FI-ORLY,2.1395841668555115e-12
FI-PGR,3.2590731829868735e-12
FI-QCOM,0.0
FI-RCL,0.0
FI-ROST,0.014563082443748975
FI-RY,0.0
FI-SCHW,0.0033818952866869717
FI-TMO,2.191434130566547e-12
FI-TMUS,3.5367399068697314e-12
FI-TXN,0.0
FI-UBER,0.007612191005336975
FI-UNH,0.0
FI-VRTX,0.0
FI-WBD,0.0
FI-YUM,1.434675794644958e-12
FLUT-MELI,0.002862037152457511
FOXA-ICE,0.006725866329311592
FOXA-LRCX,0.0
FOXA-LYV,0.0036806586353937574
FOXA-WFC,5.897604242014496e-14
GM-NWSA,0.01843608671195537
GSAT-HCA,0.0
GSAT-MS,0.0026477445810369525
HCA-HLT,7.987439965238585e-13
HCA-KLAC,0.0
HCA-YUM,2.8724171716192268e-12
HD-INTU,0.0
HD-MSFT,6.247526660613709e-13
HD-WFC,0.0
HLT-LOW,0.0
HLT-MS,0.0045005606950487545
HLT-RY,3.728090707053491e-13
HLT-SCHW,0.0
HLT-TD,0.07386326459981789
HLT-TMO,0.0013595095357020184
IBM-JNJ,3.631080624401221e-12
IBM-MCD,0.013502334672008311
IBM-TTWO,2.4896193483757207e-12
IBM-UNH,0.0
ICE-VRTX,0.0
INTU-KKR,0.00014625541307462578
ISRG-NKE,0.0004066615004851263
ISRG-VRTX,1.9241224841375632e-12
KKR-MSFT,0.0033454088312745676
KLAC-MAR,0.0
KLAC-MS,0.0
KLAC-YUM,3.173785165951884e-12
LLY-ORLY,2.564079458213317e-13
LLY-VZ,1.0059792893756778e-12
LOW-MS,7.952548165438176e-13
LOW-MSFT,0.0048453130291227844
LOW-SCHW,0.0
LOW-TMO,0.013303158258459593
LOW-VZ,2.6262090432780567e-12
LOW-ZG,0.0
LULU-NFLX,2.578134232290232e-12
LULU-NKE,0.01422673846323561
LULU-PGR,3.5974716989870194e-12
LULU-T,1.4712274732287944e-12
LULU-VRTX,0.0
MA-MAR,0.020423822644341862
MA-MCD,0.05725184767871055
MA-MCK,0.00013682517399911495
MA-NOW,8.247235789631707e-13
MA-NWSA,0.023193479235396157
MA-OMC,2.7418367161028495e-12
MA-ORCL,2.5584421294005764e-12
MA-ORLY,4.54408816011209e-12
MA-PFE,1.3850423505613746e-12
MA-PGR,0.038818852646833546
MA-ROST,1.448628637215914e-12
MA-RY,1.6156235992561635e-12
MA-SPGI,0.0
MA-SYK,0.0
MA-T,2.342060480130398e-12
MA-TJX,1.8246370047706625e-12
MA-TTWO,0.0
MA-TXN,2.9247060427505933e-12
MA-UNH,0.0
MA-VRTX,7.685471704353831e-13
MA-VZ,1.103205505963859e-12
MA-WFC,0.0
MA-YUM,0.011213808202637093
