Date,AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,ANET,AON,AVGO,AXP,AZO,BAC,BDX,BKNG,BLK,BMY,BRK-B,BSX,BX,C,CB,CHTR,CI,CMCSA,CME,CMG,CPNG,CRM,CSCO,CVS,DASH,DHI,DHR,DIS,EA,ELV,F,FI,FLUT,FOXA,FWONA,GILD,GM,GOOG,GS,GSAT,HCA,HD,HLT,IBKR,IBM,ICE,INTU,ISRG,JNJ,JPM,KKR,KLAC,LLY,LOW,LRCX,LULU,LYV,MA,MAR,MCD,MCK,MCO,MDT,MELI,META,MMC,MRK,MS,MSFT,MU,NFLX,NKE,NOW,NVDA,NWSA,OMC,ORCL,ORLY,PFE,PGR,PINS,PLTR,QCOM,RBLX,RCL,RDDT,REGN,ROST,RY,SBUX,SCHW,SPGI,SPOT,SYK,T,TD,TJX,TMO,TMUS,TSLA,TTWO,TXN,UBER,UNH,V,VRTX,VZ,WBD,WFC,WMG,YUM,ZG,ZTS,^DJI,^GSPC,^IXIC
2020-04-01,58.46379470825195,59.48781204223633,,70.10681915283203,144.278564453125,301.2099914550781,76.82840728759766,116.78504180908203,41.35860061645508,43.65999984741211,169.6373291015625,95.38500213623047,12.048125267028809,147.8815460205078,19.68339729309082,72.74871826171875,776.8599853515625,17.459672927856445,204.25721740722656,1257.87744140625,362.2208557128906,45.76952362060547,175.9499969482422,30.190000534057617,34.26862335205078,31.812732696533203,95.98875427246094,424.0299987792969,160.79702758789062,28.69996452331543,135.55825805664062,12.387200355529785,,133.31536865234375,32.81695556640625,49.847999572753906,,31.08717155456543,111.84062194824219,93.76170349121094,95.14442443847656,201.31040954589844,3.4724061489105225,88.01000213623047,89.05000305175781,20.856658935546875,22.64243507385254,59.25126266479492,18.727367401123047,55.02039337158203,128.70216369628906,4.349999904632568,80.42779541015625,158.40765380859375,62.366546630859375,41.97103500366211,79.95600891113281,74.34388732910156,211.2346649169922,152.75332641601562,111.94564056396484,73.09947967529297,20.800254821777344,123.8696060180664,128.3029327392578,73.52750396728516,16.55289077758789,183.5,38.880001068115234,222.27493286132812,67.18897247314453,140.94781494140625,128.5685272216797,189.37911987304688,72.8590087890625,447.3399963378906,158.85133361816406,76.08988189697266,60.40107345581055,26.899904251098633,145.59642028808594,39.048095703125,364.0799865722656,74.63150787353516,273.07000732421875,6.054443359375,8.235819816589355,43.156150817871094,45.18226623535156,287.25,24.166872024536133,65.4090805053711,14.170000076293945,,59.136009216308594,,25.561187744140625,,496.0126037597656,77.28961181640625,48.885986328125,56.2333984375,30.707414627075195,224.69261169433594,121.61000061035156,137.46383666992188,14.557638168334961,31.90815544128418,41.81965637207031,271.8961486816406,83.24951171875,32.104000091552734,116.33000183105469,84.29147338867188,25.420000076293945,220.51760864257812,147.76185607910156,225.47999572753906,39.87517166137695,19.450000762939453,23.392240524291992,,61.62309646606445,30.040000915527344,107.63614654541016,20943.509765625,2470.5,7360.580078125
2020-04-02,59.43936538696289,60.87332534790039,,72.73455810546875,145.7616424560547,303.9599914550781,80.12665557861328,118.43257141113281,41.30129623413086,44.4900016784668,179.13070678710938,95.94149780273438,12.131250381469727,151.3264617919922,20.865468978881836,72.04386138916016,794.6500244140625,18.166183471679688,211.3980712890625,1246.3731689453125,377.247802734375,46.476646423339844,179.72999572753906,31.049999237060547,34.59618377685547,32.407527923583984,97.61053466796875,435.6600036621094,156.839111328125,30.426210403442383,137.49131774902344,12.60319995880127,,133.5739288330078,34.39860153198242,47.34449005126953,,31.01106834411621,118.5580062866211,95.78668975830078,99.78801727294922,198.57679748535156,3.440838098526001,88.75,89.05000305175781,21.164749145507812,22.799606323242188,62.90389633178711,17.68695831298828,55.77781295776367,132.81240844726562,4.349999904632568,80.59110260009766,160.78427124023438,57.24188232421875,43.12583541870117,83.65191650390625,76.05928802490234,218.11053466796875,155.9066619873047,115.71741485595703,75.82903289794922,20.838211059570312,124.65080261230469,133.72024536132812,75.75836944580078,16.348323822021484,185.49000549316406,33.95000076293945,232.26040649414062,61.21337127685547,143.9152069091797,124.83885192871094,198.1698455810547,74.6261215209961,462.8699951171875,157.4479522705078,76.76709747314453,62.913700103759766,28.83954620361328,148.61154174804688,40.22277069091797,370.0799865722656,75.48870086669922,259.0,6.363305568695068,7.816401958465576,43.52366638183594,46.193336486816406,303.489990234375,25.019367218017578,69.20562744140625,13.699999809265137,,61.038414001464844,,24.618885040283203,,498.1098937988281,75.67882537841797,49.29545974731445,58.370662689208984,32.039676666259766,231.41432189941406,121.91000366210938,142.1292724609375,14.926117897033691,32.04369354248047,41.04175567626953,284.09783935546875,82.54541015625,30.29800033569336,119.51000213623047,88.7544174194336,23.68000030517578,223.41668701171875,151.89236450195312,242.16000366210938,41.63081359863281,18.68000030517578,23.964506149291992,,60.165653228759766,29.100000381469727,111.58885192871094,21413.439453125,2526.89990234375,7487.31005859375
2020-04-03,58.585147857666016,59.44730758666992,,72.74370574951172,141.91868591308594,293.6099853515625,79.08511352539062,115.74970245361328,40.384334564208984,42.59000015258789,176.1549072265625,95.32949829101562,12.164999961853027,148.32423400878906,20.6190242767334,69.16815185546875,790.5599975585938,17.689292907714844,205.46246337890625,1217.370361328125,369.7652893066406,46.74603271484375,178.33999633789062,31.170000076293945,35.05815124511719,30.970121383666992,94.74478912353516,433.79998779296875,152.2215576171875,30.054410934448242,141.70809936523438,12.220199584960938,,133.56398010253906,33.759033203125,47.60936737060547,,30.573488235473633,117.44568634033203,92.73439025878906,100.31478881835938,190.97715759277344,3.3461363315582275,86.19000244140625,89.05000305175781,20.819313049316406,20.245580673217773,63.90899658203125,17.541109085083008,54.635223388671875,130.15492248535156,4.199999809265137,78.60272216796875,158.4697265625,55.34239196777344,41.42759323120117,80.86858367919922,75.918701171875,211.4961395263672,154.1566619873047,116.6038818359375,73.58771514892578,21.084928512573242,120.41547393798828,131.35020446777344,75.15493774414062,16.168956756591797,181.25,33.56999969482422,230.46165466308594,57.404541015625,142.8726348876953,121.25407409667969,200.15420532226562,74.7300796508789,454.4700012207031,153.4567413330078,74.1231460571289,62.406272888183594,28.797014236450195,147.24281311035156,40.350032806396484,361.760009765625,74.2829818725586,249.57000732421875,6.075366973876953,7.797338962554932,41.41889572143555,45.822303771972656,295.3800048828125,25.6054630279541,68.64518737792969,13.819999694824219,,58.53477478027344,,24.19236946105957,,492.6868896484375,71.24674987792969,48.443077087402344,56.61953353881836,31.30367088317871,228.97869873046875,122.12000274658203,140.6945343017578,14.251432418823242,31.445711135864258,38.38936996459961,278.8219909667969,80.1690902709961,32.000667572021484,118.48999786376953,86.97969818115234,22.81999969482422,213.24192810058594,146.54586791992188,238.30999755859375,41.216407775878906,18.360000610351562,23.09290885925293,,57.66064453125,29.579999923706055,110.22321319580078,21052.529296875,2488.64990234375,7373.080078125
2020-04-06,63.69594955444336,61.35947799682617,,75.7468490600586,154.88400268554688,319.1300048828125,87.52716827392578,125.72486114501953,44.08082962036133,47.52000045776367,181.44613647460938,99.87950134277344,12.975000381469727,166.616943359375,22.21918296813965,78.81974029541016,875.0999755859375,18.890357971191406,215.39439392089844,1342.0076904296875,397.5815124511719,48.71588134765625,185.24000549316406,32.880001068115234,39.11493682861328,33.96883010864258,102.06119537353516,459.54998779296875,161.18724060058594,32.07278823852539,148.80413818359375,13.799799919128418,,146.73043823242188,35.80739212036133,48.03659439086914,,35.053924560546875,123.34622192382812,98.3648452758789,103.90476989746094,212.0382080078125,3.575000047683716,95.86000061035156,89.05000305175781,23.396055221557617,21.286836624145508,63.516761779785156,19.00934600830078,59.06623458862305,140.1648712158203,4.349999904632568,89.88932800292969,169.66990661621094,63.1184196472168,43.91189193725586,87.31739807128906,79.14328002929688,232.54019165039062,166.74667358398438,121.4620132446289,78.32426452636719,23.115612030029297,139.7662811279297,133.18414306640625,81.16185760498047,18.585227966308594,194.9499969482422,34.5099983215332,258.5704650878906,68.58811950683594,157.7631378173828,130.63632202148438,219.6816864013672,81.5040283203125,506.1600036621094,164.77342224121094,81.01595306396484,65.7291488647461,31.485307693481445,158.19293212890625,45.39133834838867,379.9599914550781,79.71809387207031,269.95001220703125,6.685369968414307,8.512253761291504,44.85167694091797,47.76093292236328,333.42999267578125,26.31334686279297,68.78096008300781,15.210000038146973,,63.66767120361328,,29.370073318481445,,503.622802734375,83.09419250488281,50.79127502441406,60.87610626220703,33.614173889160156,245.30836486816406,122.5199966430664,157.40829467773438,15.279031753540039,33.271549224853516,43.216148376464844,300.35040283203125,84.18829345703125,34.41600036621094,121.29000091552734,94.79203033447266,25.989999771118164,230.75735473632812,163.5214385986328,255.3000030517578,42.72340393066406,19.649999618530273,25.20586585998535,,64.21920776367188,36.52000045776367,121.93699645996094,22679.990234375,2663.679931640625,7913.240234375
2020-04-07,62.95820617675781,61.08399200439453,,75.01439666748047,153.08375549316406,308.92999267578125,87.93831634521484,123.30307006835938,45.42760467529297,47.560001373291016,179.044921875,100.58000183105469,13.071249961853027,169.28244018554688,22.292240142822266,82.30632781982422,899.6400146484375,19.55271339416504,215.2675323486328,1361.484619140625,391.92095947265625,47.89931869506836,185.25,33.689998626708984,38.32542037963867,34.07621765136719,103.2314453125,451.75,164.6062469482422,32.70132064819336,144.21209716796875,14.086000442504883,,144.2642364501953,35.124603271484375,48.59197235107422,,34.75904083251953,120.18304443359375,100.00457000732422,103.71944427490234,210.4694061279297,3.717052459716797,94.62000274658203,89.05000305175781,23.797504425048828,20.62868309020996,61.016300201416016,20.710952758789062,59.04582977294922,147.06544494628906,4.349999904632568,94.720947265625,170.52120971679688,65.12673950195312,42.6600341796875,87.40863800048828,77.14667510986328,232.1915740966797,163.3300018310547,119.48055267333984,79.35738372802734,22.887868881225586,138.6085968017578,133.4381103515625,83.16414642333984,18.990650177001953,194.9199981689453,37.849998474121094,251.9005889892578,71.72652435302734,156.47103881835938,127.62161254882812,219.25030517578125,81.82452392578125,525.6699829101562,168.0380401611328,81.50554656982422,64.29686737060547,31.42574691772461,156.4891357421875,45.55775833129883,372.2799987792969,79.27538299560547,262.3500061035156,6.4519805908203125,8.378801345825195,45.31939697265625,47.083805084228516,336.2699890136719,25.58262825012207,68.4279556274414,15.0600004196167,,65.26496887207031,,33.27814483642578,,500.8663635253906,80.83529663085938,51.18404006958008,61.702293395996094,32.552101135253906,245.52890014648438,127.61000061035156,157.53182983398438,15.611180305480957,34.0927619934082,43.75037384033203,293.0194091796875,84.59902954101562,36.36333465576172,120.05999755859375,92.44309997558594,25.739999771118164,230.4785614013672,162.70114135742188,247.6699981689453,42.934383392333984,20.670000076293945,25.32912254333496,,64.99347686767578,37.25,121.28302001953125,22653.859375,2659.409912109375,7887.259765625
2020-04-08,64.56961059570312,63.65245056152344,,77.77945709228516,160.18203735351562,317.17999267578125,92.64360809326172,124.71653747558594,49.15274429321289,48.790000915527344,187.9722900390625,102.1500015258789,13.411874771118164,180.86817932128906,22.981422424316406,86.53535461425781,915.219970703125,20.709630966186523,226.54969787597656,1357.2213134765625,398.8639831542969,49.03575897216797,191.00999450683594,35.130001068115234,39.450904846191406,36.562747955322266,105.60882568359375,463.92999267578125,173.01451110839844,33.35641098022461,147.60516357421875,14.502400398254395,,150.28062438964844,36.07532501220703,50.76225280761719,,37.71745681762695,126.11833953857422,99.83665466308594,104.18769073486328,232.04713439941406,3.969590425491333,98.37000274658203,89.05000305175781,24.553720474243164,21.925344467163086,61.27778244018555,22.490345001220703,60.228729248046875,156.7564239501953,4.5,103.79825592041016,172.7648162841797,69.34122467041016,43.863372802734375,90.71669006347656,79.99629974365234,238.1667938232422,170.1666717529297,124.50376892089844,82.56180572509766,23.42875099182129,143.40867614746094,137.5198974609375,86.26361846923828,19.7711181640625,196.00999450683594,37.7599983215332,263.84906005859375,80.18952178955078,158.1641845703125,127.11917877197266,217.1509246826172,85.99979400634766,544.0,173.46246337890625,87.2967300415039,66.8012924194336,33.49300765991211,158.05892944335938,47.27082824707031,371.1199951171875,80.34922790527344,274.04998779296875,6.649252414703369,8.531315803527832,45.66183853149414,48.58430480957031,340.0299987792969,26.33617401123047,70.42829895019531,16.829999923706055,,65.80339813232422,,37.25565719604492,,511.6724853515625,84.8765640258789,52.145042419433594,64.27059173583984,33.99616241455078,250.75473022460938,126.04000091552734,167.641845703125,15.875948905944824,34.59775924682617,46.02787780761719,303.4626159667969,84.93150329589844,36.589332580566406,119.0999984741211,95.84468078613281,26.940000534057617,248.86746215820312,168.8292999267578,249.66000366210938,43.55224609375,21.579999923706055,26.65852928161621,,68.65535736083984,38.650001525878906,122.37938690185547,23433.5703125,2749.97998046875,8090.89990234375
2020-04-09,65.03555297851562,64.61663818359375,,78.77745819091797,165.95578002929688,318.70001220703125,90.25899505615234,128.3086700439453,47.366580963134766,48.380001068115234,187.1318817138672,102.13800048828125,13.119375228881836,184.80386352539062,22.382902145385742,89.11034393310547,940.8300170898438,21.954853057861328,224.23890686035156,1405.2760009765625,416.951171875,49.59136199951172,193.83999633789062,36.83000183105469,41.29872131347656,39.16493606567383,112.66722106933594,466.6400146484375,168.93582153320312,33.63969802856445,155.10081481933594,15.420000076293945,,153.6915740966797,35.60860061645508,51.66796112060547,,39.039710998535156,126.63973999023438,103.22480010986328,103.21214294433594,227.76353454589844,4.237913131713867,99.22000122070312,89.05000305175781,24.264305114746094,23.359527587890625,60.06842041015625,23.394622802734375,60.286949157714844,163.2229461669922,4.5,103.79825592041016,178.71519470214844,67.71873474121094,44.1836051940918,92.39733123779297,81.90857696533203,244.66932678222656,167.92999267578125,122.73958587646484,89.96871948242188,24.007593154907227,141.29098510742188,137.0590362548828,87.14131164550781,19.143335342407227,203.50999450683594,38.27000045776367,262.339599609375,79.00410461425781,163.69801330566406,128.81979370117188,231.68386840820312,87.51570129394531,533.280029296875,174.36817932128906,90.09439086914062,67.51334381103516,34.947750091552734,158.06846618652344,45.15639877319336,370.7200012207031,81.75272369384766,278.05999755859375,6.549619674682617,9.046056747436523,47.44087219238281,49.56287384033203,342.44000244140625,26.9374942779541,72.7635498046875,16.75,,64.23301696777344,,39.894100189208984,,512.3016967773438,84.58109283447266,52.73835372924805,66.3449935913086,34.04273986816406,271.8883361816406,131.86000061035156,173.6184844970703,16.322111129760742,34.79975509643555,45.746700286865234,313.56982421875,84.00249481201172,38.20000076293945,119.4000015258789,93.68716430664062,27.110000610351562,245.42941284179688,167.6230010986328,246.61000061035156,43.746463775634766,22.31999969482422,29.229299545288086,,73.20989227294922,40.06999969482422,123.82199096679688,23719.369140625,2789.820068359375,8153.580078125
2020-04-13,66.3120346069336,65.06229400634766,,78.60348510742188,160.96554565429688,320.6499938964844,91.06300354003906,125.61683654785156,47.643592834472656,50.939998626708984,187.18331909179688,108.44349670410156,12.630000114440918,179.34776306152344,22.877561569213867,84.89071655273438,942.1900024414062,21.124704360961914,224.7916259765625,1405.6419677734375,400.1199035644531,49.599788665771484,188.77000427246094,35.209999084472656,39.9632568359375,38.561893463134766,110.21614837646484,469.70001220703125,164.894287109375,32.92264175415039,148.99986267089844,14.881600379943848,,151.65296936035156,35.62589645385742,50.37775421142578,,36.747169494628906,126.98733520507812,102.23699951171875,106.62654113769531,225.9505157470703,4.0721845626831055,96.97000122070312,89.05000305175781,24.264305114746094,22.789783477783203,61.51475524902344,22.373661041259766,60.59101104736328,158.72296142578125,4.650000095367432,99.52376556396484,176.28536987304688,65.9280776977539,43.17435836791992,92.13117980957031,79.84632110595703,242.71859741210938,164.8433380126953,121.47069549560547,85.96759033203125,22.72655487060547,143.14511108398438,135.82696533203125,87.0407485961914,19.180395126342773,199.27000427246094,39.40999984741211,256.4384460449219,75.87542724609375,160.50782775878906,126.59740447998047,221.53182983398438,86.2076644897461,543.0,173.97007751464844,88.61162567138672,65.9173812866211,33.671661376953125,158.42263793945312,45.195560455322266,396.7200012207031,79.55796813964844,283.55999755859375,6.721486568450928,8.950733184814453,46.56388473510742,49.36716842651367,347.9200134277344,26.74720001220703,69.78565979003906,16.469999313354492,,65.7764663696289,,33.099605560302734,,516.3564453125,82.92264556884766,51.927757263183594,64.44121551513672,32.39371109008789,257.399658203125,129.8300018310547,163.508544921875,16.035293579101562,34.07257080078125,44.84695053100586,311.5344543457031,84.26653289794922,43.39666748046875,120.0,93.66975402832031,27.989999771118164,244.85333251953125,163.087158203125,252.27999877929688,43.1600227355957,21.989999771118164,27.670988082885742,,70.19478607177734,37.95000076293945,118.24398040771484,23390.76953125,2761.6298828125,8192.419921875
2020-04-14,69.66100311279297,67.53746795654297,,81.95947265625,166.12368774414062,340.7699890136719,94.1236801147461,129.52403259277344,50.11746597290039,54.93000030517578,194.49850463867188,114.16600036621094,12.95687484741211,186.7091522216797,23.556171417236328,83.06754302978516,977.1400146484375,20.9569034576416,226.12376403808594,1433.744873046875,405.1083068847656,50.54262161254883,192.94000244140625,35.91999816894531,40.28242874145508,37.521018981933594,112.87915802001953,489.57000732421875,172.45703125,34.10002899169922,153.39614868164062,15.706600189208984,,156.8340301513672,36.97417068481445,52.599300384521484,,38.20259475708008,132.21002197265625,104.73612213134766,109.28976440429688,236.73464965820312,4.174777507781982,96.8499984741211,89.05000305175781,24.74977684020996,23.339881896972656,63.53310012817383,22.34449005126953,63.162330627441406,157.8814239501953,4.650000095367432,108.10157012939453,183.71673583984375,69.26207733154297,43.97980880737305,94.23007202148438,81.55237579345703,253.61756896972656,169.31333923339844,126.9111099243164,83.61243438720703,22.97327423095703,152.2181854248047,142.11892700195312,90.57908630371094,20.198040008544922,205.17999267578125,41.959999084472656,263.62518310546875,80.33526611328125,163.9564208984375,133.01327514648438,227.92599487304688,87.66294860839844,562.02001953125,177.33421325683594,92.7335433959961,67.79981231689453,33.90986633300781,166.26194763183594,46.614952087402344,413.54998779296875,82.39326477050781,302.0899963378906,7.072692394256592,8.969796180725098,46.43025588989258,50.32709884643555,356.3500061035156,27.736713409423828,72.83595275878906,17.239999771118164,,69.59024047851562,,37.53338623046875,,524.1664428710938,86.70657348632812,52.34559631347656,66.15641784667969,33.73530578613281,265.9336853027344,135.92999267578125,166.65367126464844,16.534570693969727,34.13721466064453,47.06821060180664,322.4519348144531,87.64031982421875,47.32600021362305,122.77999877929688,96.52326965332031,27.75,251.34832763671875,168.52049255371094,262.4100036621094,44.279579162597656,22.299999237060547,26.570486068725586,,72.77263641357422,38.310001373291016,122.92758178710938,23949.759765625,2846.06005859375,8515.740234375
2020-04-15,69.02520751953125,67.28255462646484,,83.6144790649414,158.76852416992188,332.54998779296875,91.7756118774414,123.9152603149414,48.11161422729492,54.9900016784668,190.21060180664062,115.38400268554688,12.76187515258789,176.9998779296875,22.65928077697754,78.74454498291016,932.6599731445312,19.596874237060547,228.8423614501953,1409.2030029296875,391.87677001953125,50.05436325073242,188.57000732421875,34.790000915527344,38.21623229980469,35.406227111816406,107.35039520263672,496.32000732421875,169.6511993408203,32.89608383178711,150.87583923339844,15.402000427246094,,154.7655792236328,35.88518142700195,51.74485778808594,,35.88152313232422,132.74884033203125,102.10858917236328,110.73357391357422,235.28799438476562,3.969590425491333,93.66000366210938,89.05000305175781,23.993562698364258,22.141454696655273,60.98360061645508,21.060998916625977,62.825927734375,158.13829040527344,4.349999904632568,105.16224670410156,176.0104522705078,69.12358856201172,43.41697311401367,90.26040649414062,80.8493423461914,244.533447265625,170.3333282470703,128.32769775390625,79.48872375488281,22.062314987182617,144.2086639404297,142.1847381591797,86.25444793701172,19.479095458984375,207.9499969482422,38.470001220703125,250.40101623535156,78.4405746459961,158.47605895996094,133.32244873046875,220.32400512695312,84.30195617675781,588.6400146484375,176.13986206054688,89.80530548095703,67.16962432861328,32.667808532714844,164.5198974609375,45.450069427490234,426.75,80.10429382324219,295.9200134277344,6.995227813720703,8.512253761291504,43.39838409423828,49.54424285888672,353.8900146484375,27.378969192504883,71.731689453125,17.030000686645508,,68.19036102294922,,36.680355072021484,,511.0332946777344,84.40953826904297,50.60742950439453,65.150634765625,32.300540924072266,262.01190185546875,138.77999877929688,163.94557189941406,15.982178688049316,32.52931594848633,45.25933837890625,321.91839599609375,86.58418273925781,48.65533447265625,123.5,93.93944549560547,27.40999984741211,261.7367858886719,160.16302490234375,255.22999572753906,43.35805130004883,21.350000381469727,25.038593292236328,,70.72309112548828,35.7400016784668,119.07106018066406,23504.349609375,2783.360107421875,8393.1796875
